gloss,text
WE NEED  FIND DIFFERENT ARRANGEMENT IN  TYPE CASE .,we need to find a different arrangement in this type of case .
IT  CERTAINLY CORRECT  FUNDAMENTAL PROBLEM   DEAL  .,it is certainly correct that the fundamental problem should be dealt with .
"SINCE N , KOSOVO HAVE ADOPT CONSTITUTION  COMPLETELY NEW LEGAL  INSTITUTIONAL FRAMEWORK .","since then , kosovo has adopted a constitution and a completely new legal and institutional framework ."
WE  REALISTIC ENOUGH  KNOW  2009 WILL PRESENT ITS FAIR SHARE DIFFICULTY  OBSTACLE .,we are realistic enough to know that 2009 will present its fair share of difficulties and obstacles .
HAVE  WELCOME  COUNCIL .,this has been welcomed by the council .
IT  PARTICULARLY ENCOURAGE  AUTHORITY IN PRIŠ`TINA ACT  REASONABLE RESTRAINT .,it is particularly encouraging that the authorities in priština acted with reasonable restraint .
WE WILL CONTINUE  MONITOR CLOSELY SITUATION IN NORTH COUNTRY IN PARTICULAR .,we will continue to monitor closely the situation in the north of the country in particular .
I PARTICULARLY WELCOME PROPOSE RESOLUTION WHICH HAVE  TABLE   PART SESSION .,i particularly welcome the proposed resolution which has been tabled at this part session .
"EUROPEAN UNION PRESENCE IN KOSOVO  PROGRESSIVELY MATERIALISE , TAKE OVER FROM UNITE NATION .","the european union presence in kosovo is progressively materialising , taking over from the united nations ."
STABLE  MULTUS ETHNIC KOSOVO  KEY PRIORITY  EUROPEAN UNION .,a stable and multi ethnic kosovo is a key priority for the european union .
WE WILL ALLOCATE FURR EUR 106 MILLION IN 200 COMMISSION WELCOME DRAFT RESOLUTION  DISCUSS HERE TODAY IN EUROPEAN PARLIAMENT .,we will allocate a further eur 106 million in 200the commission welcomes the draft resolution being discussed here today in the european parliament .
COMMISSION TAKE ALL SE ISSUE  SERIOUSLY .,the commission takes all these issues very seriously .
PERHAPS I CAN SAY FEW WORD ON EACH Y IN TURN .,perhaps I can say a few words on each of them in turn .
"IN 2008  2009 FUNDING  CONTINUE ,  EUR 2.5 MILLION MORE  FURR PROJECT .","in 2008 and 2009 funding is continuing , with eur 2.5 million more for further projects ."
GRAVEYARD  ALSO  INCLUDE IN  DEBATE  AS  ENSURE Y PROPER RESTORATION  PRESERVATION .,graveyards could also be included in this debate so as to ensure their proper restoration and preservation .
WE  GRATEFUL  ADDITIONAL AMOUNT UNDER  HEAD WHICH  ALSO ALLOCATE IN  YEAR POSS BUDGET .,we are grateful for the additional amount under this heading which is also allocated in this year's budget .
GENDER EQUALITY  HIGH ON WE AGENDA AS WELL .,gender equality is high on our agenda as well .
COMMISSION HAVE PROVIDE TECHNICAL ASSISTANCE  KOSOVO GENDER EQUALITY AGENCY .,the commission has provided technical assistance to the kosovo gender equality agency .
WE HAVE STRESS  AUTHORITY URGENCY ADOPT CIVIL SERVICE LAW .,we have stressed with the authorities the urgency of adopting the civil service law .
COMMISSION  MAKE SIGNIFICANT EFFORT  HELP REFORM EDUCATION SYSTEM IN KOSOVO .,the commission is making significant efforts to help reform the education system in kosovo .
WE FINANCIAL ASSISTANCE  COMPREHENSIVE .,our financial assistance is comprehensive .
"EUR 5 MILLION , COMMISSION  AMONG MAIN CONTRIBUTOR  FUND .","with eur 5 million , the commission is among the main contributors to the fund ."
"ALTOGER , EU ASSISTANCE  EDUCATION IN KOSOVO , OVER PERIOD 2006 2010 , AMOUNT  EUR 30.5 MILLION .","altogether , eu assistance to education in kosovo , over the period 2006 2010 , amounts to eur 30.5 million ."
PLIGHT ROMA FAMILY IN LEAD CONTAMINATE REFUGEE CAMP IN NORTH  ISSUE SERIOUS CONCERN .,the plight of roma families in lead contaminated refugee camps in the north is an issue of serious concern .
COMMISSION  ACTIVELY ASSIST IN FIND SWIFT  SUSTAINABLE SOLUTION ACCEPTABLE  ALL .,the commission is actively assisting in finding a swift and sustainable solution acceptable to all .
WE SUPPORT  ROMA IN KOSOVO ALSO INCLUDE EDUCATION .,our support for roma in kosovo also includes education .
"IN MY VIEW , ALL    MUCH IN LINE  YOU PROPOSAL .","in my view , all this is very much in line with your proposals ."
I THANK ALL HONORABLE MEMBER  PARLIAMENT  MUCH  Y ATTENTION  LOOK FORWARD  YOU QUESTION .,i thank all honourable members of this parliament very much for their attention and look forward to your questions .
RE  STILL MANY ATROCITY WHICH HAVE NOT YET  EXPOSE  BRING BEFORE COURT .,there are still many atrocities which have not yet been exposed and brought before a court .
"COMBATE CORRUPTION IN KOSOVO  ALSO IMPORTANT , AS RE  STILL MANY CRIMINAL  LARGE WHO REMAIN UNPUNISHED .","combating corruption in kosovo is also important , as there are still many criminals at large who remain unpunished ."
WORK   IMPORTANT .,this work is very important .
PEOPLE KOSOVO  BECOME AWARE IN Y EVERYDAY LIFE  Y ALL LIVE TOGER .,the people of kosovo must become aware in their everyday lives that they all live together .
GOVERNMENT KOSOVO  ALSO PUSH AHEAD  ITS DECENTRALISATION PROGRAM .,the government of kosovo must also push ahead with its decentralisation programme .
"Y   ALLOW  TAKE PART IN GOVERNMENT , IN PARLIAMENTARY WORK  IN CIVILIAN LIFE .","they must be allowed to take part in the government , in parliamentary work and in civilian life ."
ONLY WAY IN WHICH KOSOVO WILL FLOURISH .,this is the only way in which kosovo will flourish .
"MADAM PRESIDENT , I  SPEAK ON BEHALF SOCIALIST GROUP IN EUROPEAN PARLIAMENT .","madam president , I am speaking on behalf of the socialist group in the european parliament ."
WE CAN CONFIRM  SITUATION IN KOSOVO  IMPROVE .,we can confirm that the situation in kosovo is improving .
WE  GRATEFUL  CZECH PRESIDENCY   COMMISSION  Y GOOD COOPERATION .,we are grateful to the czech presidency and to the commission for their good cooperation .
MR PACK HAVE ALSO TOUCH ON  SUBJECT .,mrs pack has also touched on this subject .
WE CAN NOT TAKE RESPONSIBILITY  DEVELOPMENT KOSOVO .,we cannot take responsibility for the development of kosovo .
SE  NOT MERELY EMPTY WORD  NO REAL MEANING .,these are not merely empty words with no real meaning .
IT  GRATIFY  MISSION  SUPPORT  UN   IT COVER WHOLE COUNTRY .,it is gratifying that the mission is supported by the un and that it covers the whole country .
"WE RESOLUTION , WE IN EUROPEAN PARLIAMENT  SUPPORT KOSOVO IN  MISSION .","with our resolution , we in the european parliament are supporting kosovo in this mission ."
WE ALSO POINT OUT AREA IN WHICH EU MEMBER STATE CAN ASSIST KOSOVO .,we also point out the areas in which the eu member states can assist kosovo .
"RELATE  SPECIAL AID  ESTABLISH PUBLIC ADMINISTRATION , STRENGN CIVIL SOCIETY   EDUCATIONAL PROJECT .","this relates to special aid for establishing the public administration , strengthening civil society and for educational projects ."
"DEMOCRATIC SOCIETY  RESPECT  MINORITY , COEXIST PEACEFULLY  ITS NEIGHBOURING COUNTRY .","a democratic society with respect for minorities , coexisting peacefully with its neighbouring countries ."
"ROAD AHEAD  LONG ONE ,  IT WILL  DIFFICULT .","the road ahead is a long one , and it will be difficult ."
"I AGREE  WHAT HONORABLE MR LEBECH , WHO SPEAK BEFORE I , STATE .","i agree with what the honourable mr lebech , who spoke before me , stated ."
GOVERNMENT KOSOVO HAVE  UNDERSTAND  RESPECT  RIGHTS MINORITY  EUROPEAN STANDARD .,the government of kosovo has to understand that respect for the rights of minorities is a european standard .
IT  GOOD  BRIEFLY REMIND OURSELVES TODAY WHAT  ORIGINAL MANDATE INVOLVE .,it is good to briefly remind ourselves today what this original mandate involved .
LET ALONE  EULEX POSS ACTIVITY  RESULT IN  COUNTRY  SPLIT INTO NORTH  SOUTH .,let alone that eulex's activities would result in that country being split into north and south .
ABSOLUTELY NOT WHAT  INTEND .,that was absolutely not what was intended .
KOSOVAR POLICE  DELIGHTED  EXCELLENT COOPERATION Y  ENJOY  EULEX .,the kosovar police are delighted with the excellent cooperation they are enjoying with eulex .
"WE , EUROPEAN UNION , STAND  GAIN FROM KOSOVO DEVELOP INTO VIABLE STATE .","we , the european union , stand to gain from kosovo developing into a viable state ."
WHY WE  RE  WHY WE NEED  REMAIN RE .,this is why we are there and why we need to remain there .
"MAJORITY MEMBER STATE ,  NOT ALL , HAVE RECOGNIZE KOSOVO IN CONTRAVENTION INTERNATIONAL LAW .","the majority of the member states , but not all , have recognised kosovo in contravention of international law ."
MEAN  EULEX OFFICIAL CAN ANNUL SIMPLE RESOLUTION MAKE  KOSOVAN AUTHORITY .,this means that eulex officials can annul simple resolutions made by the kosovan authorities .
EULEX MISSION ALSO INCLUDE 500 POLICEMAN  COMBAT INSURRECTION .,the eulex mission also includes 500 policemen to combat insurrection .
ON 26 JANUARY EULEX  KFOR HOLD JOINT EXERCISE ON COMBATE INSURRECTION .,on 26 january eulex and kfor held a joint exercise on combating insurrection .
UNFORTUNATELY INDICATE CLOSE COOPERATION  EXIST BETWEEN EU  NATO IN KOSOVO .,this unfortunately indicates the close cooperation that exists between the eu and nato in kosovo .
"MOREOVER , I GET IMPRESSION  DIFFERENT LEVEL DO NOT ALWAYS WORK TOGER  WELL .","moreover , I got the impression that the different levels did not always work together that well ."
EUROPEAN INSTITUTION  NOT SIMPLY SHRUG Y SHOULDER .,the european institutions should not simply shrug their shoulders .
WE  CATCH UP IN  .,we are caught up in this .
I  LIKE  UNDERLINE TWO THING .,i should like to underline two things .
"FIRST ALL , I URGE MEMBER STATE  HAVE NOT YET RECOGNIZE KOSOVO  RECONSIDER Y STANCE .","first of all , I urge the member states that have not yet recognised kosovo to reconsider their stance ."
RE  NO WAY BACK  KOSOVO WITHIN SERBIUM POSS BORDER .,there is no way back for kosovo within serbia's borders .
EUROPE POSS COMMITMENT  REGARD  WESTERN BALKAN .,this is europe's commitment with regard to the western balkans .
"HOWEVER , WE WANT  DISCOURAGE PEOPLE FROM BELIEVE   DEVELOPMENT CAN  REVERSE .","however , we want to discourage people from believing that this development can be reversed ."
THREE QUARTER MEMBER  HOUSE VOTE IN FAVOR RECOGNIZE KOSOVO .,three quarters of the members of this house voted in favour of recognising kosovo .
DEMONSTRATE   DEVELOPMENT  IRREVERSIBLE .,this demonstrates that this development is irreversible .
"WHY IT  IMPORTANT  LOOK  FUTURE , WHICH INVOLVE NUMBER RISK .","this is why it is important to look to the future , which involves a number of risks ."
GIVE RISE  HIGHLY DANGEROUS SITUATION .,this would give rise to a highly dangerous situation .
SERB IN KOSOVO  ENSURE  Y AVOID  TYPE SITUATION .,the serbs in kosovo must ensure that they avoid this type of situation .
DANGER WHICH THREATEN KOSOVO   CHAOS  CORRUPTION .,the other danger which threatens kosovo is that of chaos and corruption .
"DE MADAM PRESIDENT , MY FELLOW MEMBER JOOST LAGENDIJK  IN SAME SITUATION AS KOSOVO .","de madam president , my fellow member joost lagendijk is in the same situation as kosovo ."
WE  ACKNOWLEDGE   HAVE  PAINFUL SITUATION  SERBIUM .,we must acknowledge that this has been a painful situation for serbia .
WE  NOT ADD FUEL  FIRE .,we should not add fuel to the fire .
IT  NONSENSICAL FROM STANDPOINT SERBIAN MINORITY  SERBIUM  CONDEMN EULEX MISSION .,it is nonsensical from the standpoint of the serbian minority or of serbia to condemn the eulex mission .
"HOWEVER , IT  TRUE  RE  SOME QUESTION WHICH REMAIN UNANSWERED .","however , it is true that there are some questions which remain unanswered ."
POLITICAL LEADER IN KOSOVO  MAKE EFFORT  GET THING DO .,the political leaders in kosovo must make an effort to get things done .
"FINALLY , WE  PROMOTE INTEGRATION ENTIRE REGION .","finally , we should promote the integration of the entire region ."
"COURSE , ALL COUNTRY WILL HAVE  DO Y HOMEWORK .","of course , all the countries will have to do their homework ."
WHAT MATTER NOW   ALL WE  GUIDE KOSOVO TOWARDS MATURITY .,what matters now is for all of us to guide kosovo towards maturity .
"PERSONALLY , I VIEW  MOVE AS UNPRECEDENTED VIOLATION INTERNATIONAL LAW .","personally , I view this move as an unprecedented violation of international law ."
"FURRMORE ,  DECISION HAVE HAVE FURR REPERCUSSION , AS EVENT IN CAUCASUS LAST YEAR HAVE SHOW .","furthermore , this decision has had further repercussions , as events in the caucasus last year have shown ."
UN SECURITY COUNCIL RESOLUTION 1244 REMAIN IN FORCE .,un security council resolution 1244 remains in force .
"GREECE  UNDECIDED , WHILE SPAIN , ROMANIUM , SLOVAKIUM  CYPRUS REJECT  INDEPENDENCE  DOMESTIC REASON .","greece is undecided , while spain , romania , slovakia and cyprus reject this independence for domestic reasons ."
"EULEX   BENEFICIAL  EUROPEAN UNION ,    ALSO  SAY KOSOVO ?","eulex might be beneficial to the european union , but could this also be said of kosovo ?"
PEOPLE KOSOVO  KEEN  JOIN EUROPEAN UNION SOON  BECOME EQUAL MEMBER STATE .,the people of kosovo are keen to join the european union soon and become an equal member state .
"AFTER NEARLY CENTURY SUBJUGATION  SERBIUM , Y CERTAINLY DO NOT WANT ANY NEW INTERFERENCE FROM OUTSIDE .","after nearly a century of subjugation by serbia , they certainly do not want any new interference from outside ."
"PHASE  OVER , HOWEVER .","that phase is over , however ."
"WITHOUT SE CRITIC EULEX , WE WILL NOT HAVE LONG TERM SOLUTION .","without these critics of eulex , we will not have a long term solution ."
SEEM  WE   GOOD BEGIN  RE ESTABLISHMENT RULE LAW .,this seems to us to be a good beginning for the re establishment of the rule of law .
I FOLLOW TROUBLE IN KOSOVO  CLOSE QUARTER  END 1980 .,i followed the troubles in kosovo at close quarters at the end of the 1980s .
I SEE SLOVENIA  CROATIUM BECOME INDEPENDENT STATE  EXPERIENCE WAR  BEGIN 1990 .,i saw slovenia and croatia become independent states and experience war at the beginning of the 1990s .
"I , PERSONALLY , EXPERIENCE WAR IN BOSNIUM  FINALLY LEAVE COUNTRY AS REFUGEE .","i , personally , experienced the war in bosnia and finally left the country as a refugee ."
EVERYONE IN KOSOVO  MAKE IT PERSONAL TASK  HELP  STOP VIOLENCE BETWEEN ETHNIC GROUP .,everyone in kosovo should make it a personal task to help to stop the violence between ethnic groups .
COURT  ENSURE  WAR CRIME  ADDRESS .,the courts should ensure that war crimes are addressed .
WHAT WHOLE EUROPEAN IDEA  ABOUT .,this is what the whole european idea is about .
C I  LIKE  MENTION BRIEFLY ROLE SERBIUM IN PARTICULAR .,cs I would like to mention briefly the role of serbia in particular .
"MINISTER VONDRA , YOU PROMISE  YOU  KEEP  PARLIAMENT FULLY BRIEF .","minister vondra , you promised that you would keep this parliament fully briefed ."
"WE HAVE MAKE PROGRESS , SIGNIFICANT PROGRESS   ,  NOW WE NEED  TAKE  FURR .","we have made progress , significant progress at that , and now we need to take that further ."
WE NEED  SUPPORT PROJECT WHICH STRENGN INTERETHNIC COEXISTENCE  COOPERATION .,we need to support projects which strengthen interethnic coexistence and cooperation .
EXACTLY WHAT KOSOVO NEED .,that is exactly what kosovo needs .
"YESTERDAY , EU JUSTICE MISSION OPEN ITS FIRST WAR CRIME TRIAL IN KOSOVO .","yesterday , the eu justice mission opened its first war crimes trial in kosovo ."
EU POSS OBJECTIVE  CLEAR KOSOVO  NOT BECOME BLACK HOLE .,the eu's objectives are clear kosovo must not become a black hole .
PRIMARY RESPONSIBILITY   LIE  KOSOVAR AUTHORITY .,the primary responsibility for this lies with the kosovar authorities .
"POPULATION  GAIN CONFIDENCE NOT ONLY IN GOVERNMENT ,  ALSO IN LEGAL SYSTEM .","the population must gain confidence not only in the government , but also in the legal system ."
